dorm_type,room_type,Housing portion,date
Room in Mini Suite Projected Rates,DOUBLE,"$16,380",2022-10-03
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$13,695",2022-10-03
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$13,365",2022-10-03
Room in Suite Projected Rates,SINGLE,"$18,460",2022-10-03
Room in Suite Projected Rates,DOUBLE,"$18,165",2022-10-03
Room in Suite Projected Rates,DOUBLE (in Stern),"$15,050",2022-10-03
Room in Suite Projected Rates,TRIPLE,"$15,760",2022-10-03
Room in Suite Projected Rates,QUAD,"$14,125",2022-10-03
Standard Room Projected Rates,SINGLE,"$16,395",2022-10-03
Standard Room Projected Rates,DOUBLE,"$14,185",2022-10-03
Standard Room Projected Rates,TRIPLE,"$11,550",2022-10-03
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$11,890",2022-10-03
Standard Room Projected Rates,QUAD,"$10,320",2022-10-03
Premium Room Projected Rates (Blackwell),SINGLE,"$16,665",2023-02-02
Premium Room Projected Rates (Blackwell),DOUBLE,"$14,515",2023-02-02
Room in Mini Suite Projected Rates,SINGLE,"$16,665",2023-02-02
Room in Mini Suite Projected Rates,DOUBLE,"$16,380",2023-02-02
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$13,695",2023-02-02
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$13,365",2023-02-02
Room in Suite Projected Rates,SINGLE,"$18,460",2023-02-02
Room in Suite Projected Rates,DOUBLE,"$18,165",2023-02-02
Room in Suite Projected Rates,DOUBLE (in Stern),"$15,050",2023-02-02
Room in Suite Projected Rates,TRIPLE,"$15,760",2023-02-02
Room in Suite Projected Rates,QUAD,"$14,125",2023-02-02
Standard Room Projected Rates,SINGLE,"$16,395",2023-02-02
Standard Room Projected Rates,DOUBLE,"$14,185",2023-02-02
Standard Room Projected Rates,TRIPLE,"$11,550",2023-02-02
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$11,890",2023-02-02
Standard Room Projected Rates,QUAD,"$10,320",2023-02-02
Premium Room Projected Rates (Blackwell),SINGLE,"$17,665",2023-06-07
Premium Room Projected Rates (Blackwell),DOUBLE,"$15,385",2023-06-07
Room in Mini Suite Projected Rates,SINGLE,"$17,500",2023-06-07
Room in Mini Suite Projected Rates,DOUBLE,"$17,200",2023-06-07
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$14,380",2023-06-07
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,035",2023-06-07
Room in Suite Projected Rates,SINGLE,"$19,385",2023-06-07
Room in Suite Projected Rates,DOUBLE,"$19,075",2023-06-07
Room in Suite Projected Rates,DOUBLE (in Stern),"$15,805",2023-06-07
Room in Suite Projected Rates,TRIPLE,"$16,550",2023-06-07
Room in Suite Projected Rates,QUAD,"$14,830",2023-06-07
Standard Room Projected Rates,SINGLE,"$17,215",2023-06-07
Standard Room Projected Rates,DOUBLE,"$14,895",2023-06-07
Standard Room Projected Rates,TRIPLE,"$12,130",2023-06-07
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$12,485",2023-06-07
Standard Room Projected Rates,QUAD,"$10,835",2023-06-07
Premium Room Projected Rates (Blackwell),SINGLE,"$17,665",2023-11-24
Premium Room Projected Rates (Blackwell),DOUBLE,"$15,385",2023-11-24
Room in Mini Suite Projected Rates,SINGLE,"$17,500",2023-11-24
Room in Mini Suite Projected Rates,DOUBLE,"$17,200",2023-11-24
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$14,380",2023-11-24
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,035",2023-11-24
Room in Suite Projected Rates,SINGLE,"$19,385",2023-11-24
Room in Suite Projected Rates,DOUBLE,"$19,075",2023-11-24
Room in Suite Projected Rates,DOUBLE (in Stern),"$15,805",2023-11-24
Room in Suite Projected Rates,TRIPLE,"$16,550",2023-11-24
Room in Suite Projected Rates,QUAD,"$14,830",2023-11-24
Standard Room Projected Rates,SINGLE,"$17,215",2023-11-24
Standard Room Projected Rates,DOUBLE,"$14,895",2023-11-24
Standard Room Projected Rates,TRIPLE,"$12,130",2023-11-24
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$12,485",2023-11-24
Standard Room Projected Rates,QUAD,"$10,835",2023-11-24
Premium Room Projected Rates (Blackwell),SINGLE,"$17,665",2023-12-02
Premium Room Projected Rates (Blackwell),DOUBLE,"$15,385",2023-12-02
Room in Mini Suite Projected Rates,SINGLE,"$17,500",2023-12-02
Room in Mini Suite Projected Rates,DOUBLE,"$17,200",2023-12-02
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$14,380",2023-12-02
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,035",2023-12-02
Room in Suite Projected Rates,SINGLE,"$19,385",2023-12-02
Room in Suite Projected Rates,DOUBLE,"$19,075",2023-12-02
Room in Suite Projected Rates,DOUBLE (in Stern),"$15,805",2023-12-02
Room in Suite Projected Rates,TRIPLE,"$16,550",2023-12-02
Room in Suite Projected Rates,QUAD,"$14,830",2023-12-02
Standard Room Projected Rates,SINGLE,"$17,215",2023-12-02
Standard Room Projected Rates,DOUBLE,"$14,895",2023-12-02
Standard Room Projected Rates,TRIPLE,"$12,130",2023-12-02
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$12,485",2023-12-02
Standard Room Projected Rates,QUAD,"$10,835",2023-12-02
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-02-09
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-02-09
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-02-09
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-02-09
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-02-09
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-02-09
Room in Suite Projected Rates,SINGLE,"$20,255",2024-02-09
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-02-09
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-02-09
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-02-09
Room in Suite Projected Rates,QUAD,"$15,495",2024-02-09
Standard Room Projected Rates,SINGLE,"$17,990",2024-02-09
Standard Room Projected Rates,DOUBLE,"$15,565",2024-02-09
Standard Room Projected Rates,TRIPLE,"$12,675",2024-02-09
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-02-09
Standard Room Projected Rates,QUAD,"$11,325",2024-02-09
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-04-20
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-04-20
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-04-20
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-04-20
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-04-20
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-04-20
Room in Suite Projected Rates,SINGLE,"$20,255",2024-04-20
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-04-20
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-04-20
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-04-20
Room in Suite Projected Rates,QUAD,"$15,495",2024-04-20
Standard Room Projected Rates,SINGLE,"$17,990",2024-04-20
Standard Room Projected Rates,DOUBLE,"$15,565",2024-04-20
Standard Room Projected Rates,TRIPLE,"$12,675",2024-04-20
