date,type,price
2020-03-16,Studio,1950.0
2020-03-27,1bd,2095.0
2020-03-27,2bds,2697.5
2020-03-27,3bds,6100.0
2020-03-27,4bds,5495.0
2020-03-27,Studio,1850.0
2020-04-04,1bd,2425.0
2020-04-04,2bds,2995.0
2020-04-04,4bds,5900.0
2020-04-04,Studio,1995.0
2020-04-10,1bd,1995.0
2020-04-10,2bds,3547.5
2020-04-10,3bds,3300.0
2020-04-10,Studio,2000.0
2020-04-13,1bd,2495.0
2020-04-13,2bds,2875.0
2020-04-13,3bds,3450.0
2020-04-13,Studio,1947.5
2020-05-01,1bd,2147.5
2020-05-01,2bds,3097.5
2020-05-01,3bds,4200.0
2020-05-01,Studio,1695.0
2020-05-18,1bd,2200.0
2020-05-18,2bds,2995.0
2020-05-18,Studio,1935.0
2020-05-24,1bd,2695.0
2020-05-24,2bds,2975.0
2020-05-24,3bds,4050.0
2020-05-24,4bds,5000.0
2020-05-24,Studio,1474.5
2020-06-08,1bd,2497.5
2020-06-08,2bds,2395.0
2020-06-08,3bds,3450.0
2020-06-08,Studio,1650.0
2020-06-11,10bds,1200.0
2020-06-11,1bd,1995.0
2020-06-11,2bds,2650.0
2020-06-11,3bds,3800.0
2020-06-11,Studio,1595.0
2020-06-29,1bd,2047.5
2020-06-29,2bds,2972.5
2020-06-29,3bds,4750.0
2020-06-29,4bds,3900.0
2020-06-29,Studio,1995.0
2020-08-29,1bd,2250.0
2020-08-29,2bds,2990.0
2020-08-29,3bds,3900.0
2020-08-29,Studio,1812.5
2020-09-04,1bd,2200.0
2020-09-04,2bds,2790.0
2020-09-04,3bds,5400.0
2020-09-04,4bds,5600.0
2020-09-04,Studio,1900.0
2020-09-05,1bd,2200.0
2020-09-05,2bds,2750.0
2020-09-05,3bds,4450.0
2020-09-05,4bds,5600.0
2020-09-05,Studio,1900.0
2020-09-13,10bds,2450.0
2020-09-13,1bd,2345.0
2020-09-13,2bds,2825.0
2020-09-13,3bds,3750.0
2020-09-13,Studio,1700.0
2020-09-16,10bds,2450.0
2020-09-16,1bd,2300.0
2020-09-16,2bds,2750.0
2020-09-16,3bds,3050.0
2020-09-16,Studio,1825.0
2020-09-20,1bd,2190.0
2020-09-20,2bds,2600.0
2020-09-20,3bds,4100.0
2020-09-20,Studio,1800.0
2020-10-05,1bd,1937.5
2020-10-05,2bds,2725.0
2020-10-05,3bds,4350.0
2020-10-05,4bds,3850.0
2020-10-05,Studio,2022.5
2020-10-11,1bd,2122.5
2020-10-11,2bds,2925.0
2020-10-11,3bds,4125.0
2020-10-11,Studio,1795.0
2020-10-25,1bd,2175.0
2020-10-25,2bds,2912.5
2020-10-25,3bds,3142.5
2020-10-25,4bds,1019.0
2020-10-25,Studio,1690.0
2021-01-20,1bd,2125.0
2021-01-20,2bds,2960.0
2021-01-20,3bds,4900.0
2021-01-20,5bds,7147.5
2021-01-20,Studio,2100.0
2021-03-26,10bds,12500.0
2021-03-26,1bd,2395.5
2021-03-26,2bds,3421.0
2021-03-26,3bds,4025.0
2021-03-26,4bds,6250.0
2021-03-26,5bds,6295.0
2021-03-26,Studio,2030.0
2021-04-13,1bd,2447.5
2021-04-13,2bds,3106.0
2021-04-13,3bds,4735.5
2021-04-13,4bds,6500.0
2021-04-13,5bds,6435.0
2021-04-13,Studio,2249.0
2021-04-17,1bd,2447.5
2021-04-17,2bds,3472.5
2021-04-17,3bds,4195.0
2021-04-17,4bds,4997.5
2021-04-17,5bds,6435.0
2021-04-17,Studio,2000.0
2021-04-21,1bd,2495.0
2021-04-21,2bds,3322.5
2021-04-21,3bds,4088.0
2021-04-21,4bds,4397.5
2021-04-21,5bds,6815.0
2021-04-21,Studio,2195.0
2021-05-05,1bd,2395.0
2021-05-05,2bds,3400.0
2021-05-05,3bds,5085.5
2021-05-05,5bds,7135.0
2021-05-05,Studio,2000.0
2021-06-09,1bd,2200.0
2021-06-09,2bds,3100.0
2021-06-09,3bds,4000.0
